"Name","Team","POS","Salary","Years","Total Value","Avg Annual","year"
"Luiz Gohara","ATL","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Ozzie Albies","ATL","2B","$555,000","1 (2018)","$555,000","$555,000",2008
"Sean Newcomb","ATL","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Shane Carle","ATL","RP","$555,000","1 (2018)","$555,000","$555,000",2008
"Austin Barnes","LAD","C","$555,000","1 (2018)","$555,000","$555,000",2008
"Ross Stripling","LAD","RP","$555,000","1 (2018)","$555,000","$555,000",2008
"Scott Alexander","LAD","RP","$555,000","1 (2018)","$555,000","$555,000",2008
"Jarlin Garcia","MIA","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Phillip Evans","NYM","3B","$555,000","1 (2018)","$555,000","$555,000",2008
"Trevor Gott","WSH","RP","$555,000","1 (2018)","$555,000","$555,000",2008
"Jake Faria","TB","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Luis Castillo","CIN","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Jon Gray","COL","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Scott Oberg","COL","RP","$555,000","1 (2018)","$555,000","$555,000",2008
"Trevor Story","COL","SS","$555,000","1 (2018)","$555,000","$555,000",2008
"Tyler Anderson","COL","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Trevor Hildenberger","MIN","RP","$555,000","1 (2018)","$555,000","$555,000",2008
"Lucas Giolito","CWS","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Reynaldo Lopez","CWS","SP","$555,000","1 (2018)","$555,000","$555,000",2008
"Yoan Moncada","CWS","2B","$555,000","1 (2018)","$555,000","$555,000",2008
"Buck Farmer","DET","RP","$554,800","1 (2018)","$554,800","$554,800",2008
"Sam Tuivailala","STL","RP","$554,600","1 (2018)","$554,600","$554,600",2008
"Derek Fisher","HOU","OF","$554,400","1 (2018)","$554,400","$554,400",2008
"Oliver Drake","MIL","RP","$554,300","1 (2018)","$554,300","$554,300",2008
"Jakob Junis","KC","SP","$554,250","1 (2018)","$554,250","$554,250",2008
"Edubray Ramos","PHI","RP","$554,000","1 (2018)","$554,000","$554,000",2008
"Marco Hernandez","BOS","SS","$554,000","1 (2018)","$554,000","$554,000",2008
"James Pazos","SEA","RP","$553,900","1 (2018)","$553,900","$553,900",2008
"Brian Goodwin","WSH","OF","$553,900","1 (2018)","$553,900","$553,900",2008
"Jonathan Holder","NYY","RP","$553,850","1 (2018)","$553,850","$553,850",2008
"Hunter Renfroe","SD","OF","$553,800","1 (2018)","$553,800","$553,800",2008
"Dixon Machado","DET","2B","$553,600","1 (2018)","$553,600","$553,600",2008
"Mike Wright Jr.","BAL","SP","$553,500","1 (2018)","$553,500","$553,500",2008
"Paul Sewald","NYM","RP","$553,250","1 (2018)","$553,250","$553,250",2008
"Austin Hedges","SD","C","$553,100","1 (2018)","$553,100","$553,100",2008
"Miguel Castro","BAL","RP","$553,000","1 (2018)","$553,000","$553,000",2008
"Nick Williams","PHI","OF","$553,000","1 (2018)","$553,000","$553,000",2008
"Mallex Smith","TB","OF","$553,000","1 (2018)","$553,000","$553,000",2008
"Nicky Delmonico","CWS","OF","$553,000","1 (2018)","$553,000","$553,000",2008
"Bryan Mitchell","SD","SP","$552,800","1 (2018)","$552,800","$552,800",2008
"Matt Strahm","SD","SP","$552,700","1 (2018)","$552,700","$552,700",2008
"Chris Stratton","SF","SP","$552,500","1 (2018)","$552,500","$552,500",2008
"Rhys Hoskins","PHI","OF","$552,500","1 (2018)","$552,500","$552,500",2008
"Rob Refsnyder","TB","2B","$552,500","1 (2018)","$552,500","$552,500",2008
"Burch Smith","KC","RP","$552,450","1 (2018)","$552,450","$552,450",2008
"Jose Leclerc","TEX","RP","$552,300","1 (2018)","$552,300","$552,300",2008
"Dalton Pompey","TOR","OF","$552,000","1 (2018)","$552,000","$552,000",2008
"Austin Maddox","BOS","RP","$552,000","1 (2018)","$552,000","$552,000",2008
"Daniel Stumpf","DET","RP","$552,000","1 (2018)","$552,000","$552,000",2008
"Adam Engel","CWS","OF","$552,000","1 (2018)","$552,000","$552,000",2008
"Carson Fulmer","CWS","SP","$552,000","1 (2018)","$552,000","$552,000",2008
"Koda Glover","WSH","RP","$551,700","1 (2018)","$551,700","$551,700",2008
"Alex Dickerson","SD","OF","$551,600","1 (2018)","$551,600","$551,600",2008
"Alex Meyer","LAA","SP","$551,500","1 (2018)","$551,500","$551,500",2008
"Drew VerHagen","DET","RP","$551,400","1 (2018)","$551,400","$551,400",2008
"John Hicks","DET","C","$551,300","1 (2018)","$551,300","$551,300",2008
"Tyler Wade","NYY","OF","$551,300","1 (2018)","$551,300","$551,300",2008
"Bradley Zimmer","CLE","OF","$551,200","1 (2018)","$551,200","$551,200",2008
"Keynan Middleton","LAA","RP","$551,000","1 (2018)","$551,000","$551,000",2008
"Nick Pivetta","PHI","SP","$551,000","1 (2018)","$551,000","$551,000",2008
"Luke Weaver","STL","SP","$550,800","1 (2018)","$550,800","$550,800",2008
"Jett Bandy","MIL","C","$550,700","1 (2018)","$550,700","$550,700",2008
"Warwick Saupold","DET","RP","$550,400","1 (2018)","$550,400","$550,400",2008
"Marco Gonzales","SEA","SP","$550,300","1 (2018)","$550,300","$550,300",2008
"Austin Pruitt","TB","RP","$550,200","1 (2018)","$550,200","$550,200",2008
"J.D. Davis","HOU","3B","$550,100","1 (2018)","$550,100","$550,100",2008
"Brandon Woodruff","MIL","SP","$550,100","1 (2018)","$550,100","$550,100",2008
"Carlos Asuaje","SD","2B","$550,100","1 (2018)","$550,100","$550,100",2008
"Andrew Triggs","OAK","SP","$550,000","1 (2018)","$550,000","$550,000",2008
"Bruce Maxwell","OAK","C","$550,000","1 (2018)","$550,000","$550,000",2008
"Chad Pinder","OAK","SS","$550,000","1 (2018)","$550,000","$550,000",2008
"Daniel Coulombe","OAK","RP","$550,000","1 (2018)","$550,000","$550,000",2008
"Jharel Cotton","OAK","SP","$550,000","1 (2018)","$550,000","$550,000",2008
"Sean Manaea","OAK","SP","$550,000","1 (2018)","$550,000","$550,000",2008
"J.T. Chargois","LAD","RP","$550,000","1 (2018)","$550,000","$550,000",2008
"Julio Urias","LAD","SP","$550,000","1 (2018)","$550,000","$550,000",2008
"Wilmer Font","LAD","RP","$550,000","1 (2018)","$550,000","$550,000",2008
"Roberto E Gomez","SF","RP","$550,000","1 (2018)","$550,000","$550,000",2008
"Ben Lively","PHI","SP","$550,000","1 (2018)","$550,000","$550,000",2008
"Colin Moran","PIT","3B","$550,000","1 (2018)","$550,000","$550,000",2008
"Antonio Senzatela","COL","RP","$550,000","1 (2018)","$550,000","$550,000",2008
"Carlos Estevez","COL","RP","$550,000","1 (2018)","$550,000","$550,000",2008
"German Marquez","COL","SP","$550,000","1 (2018)","$550,000","$550,000",2008
"Kyle Freeland","COL","SP","$550,000","1 (2018)","$550,000","$550,000",2008
"Pat Valaika","COL","SS","$550,000","1 (2018)","$550,000","$550,000",2008
"Tony Wolters","COL","C","$550,000","1 (2018)","$550,000","$550,000",2008
"Dan Altavilla","SEA","RP","$549,900","1 (2018)","$549,900","$549,900",2008
"Jose Alvarado","TB","RP","$549,800","1 (2018)","$549,800","$549,800",2008
"Mark Leiter","PHI","RP","$549,500","1 (2018)","$549,500","$549,500",2008
"JaCoby Jones","DET","OF","$549,400","1 (2018)","$549,400","$549,400",2008
"Gabriel Ynoa","BAL","SP","$549,000","1 (2018)","$549,000","$549,000",2008
"Jake Thompson","PHI","RP","$549,000","1 (2018)","$549,000","$549,000",2008
"Aaron Bummer","CWS","RP","$549,000","1 (2018)","$549,000","$549,000",2008
"Amed Rosario","NYM","SS","$548,940","1 (2018)","$548,940","$548,940",2008
"Johnny Barbato","DET","RP","$548,600","1 (2018)","$548,600","$548,600",2008
"Noe Ramirez","LAA","RP","$548,500","1 (2018)","$548,500","$548,500",2008
"Allen Cordoba","SD","2B","$548,500","1 (2018)","$548,500","$548,500",2008
"Christian Villanueva","SD","3B","$548,500","1 (2018)","$548,500","$548,500",2008
"Giovanny Urshela","CLE","3B","$548,300","1 (2018)","$548,300","$548,300",2008
"Tyler Olson","CLE","RP","$548,300","1 (2018)","$548,300","$548,300",2008
"Daniel Robertson","TB","SS","$548,300","1 (2018)","$548,300","$548,300",2008
"Jeimer Candelario","DET","3B","$548,300","1 (2018)","$548,300","$548,300",2008
"Andrew Kittredge","TB","RP","$548,100","1 (2018)","$548,100","$548,100",2008
"Andrew Knapp","PHI","C","$548,000","1 (2018)","$548,000","$548,000",2008
"Hoby Milner","PHI","RP","$548,000","1 (2018)","$548,000","$548,000",2008
"Brian Johnson","BOS","SP","$548,000","1 (2018)","$548,000","$548,000",2008
"Drew Robinson","TEX","OF","$547,990","1 (2018)","$547,990","$547,990",2008
"Erik Gonzalez","CLE","SS","$547,800","1 (2018)","$547,800","$547,800",2008
"Gift Ngoepe","TOR","2B","$547,600","1 (2018)","$547,600","$547,600",2008
"Boog Powell","OAK","OF","$547,500","1 (2018)","$547,500","$547,500",2008
"Daniel Gossett","OAK","SP","$547,500","1 (2018)","$547,500","$547,500",2008
"Daniel Mengden","OAK","SP","$547,500","1 (2018)","$547,500","$547,500",2008
"Emilio Pagan","OAK","RP","$547,500","1 (2018)","$547,500","$547,500",2008
"Matt Chapman","OAK","3B","$547,500","1 (2018)","$547,500","$547,500",2008
"Matt Olson","OAK","1B","$547,500","1 (2018)","$547,500","$547,500",2008
"Paul Blackburn","OAK","SP","$547,500","1 (2018)","$547,500","$547,500",2008
"Victor Caratini","CHC","C","$547,500","1 (2018)","$547,500","$547,500",2008
"Kyle Farmer","LAD","C","$547,500","1 (2018)","$547,500","$547,500",2008
"Amir Garrett","CIN","SP","$547,500","1 (2018)","$547,500","$547,500",2008
"Austin Brice","CIN","RP","$547,500","1 (2018)","$547,500","$547,500",2008
"Cody Reed","CIN","RP","$547,500","1 (2018)","$547,500","$547,500",2008
"Mitch Garver","MIN","C","$547,500","1 (2018)","$547,500","$547,500",2008
"Joe Jimenez","DET","RP","$547,200","1 (2018)","$547,200","$547,200",2008
"Raul Mondesi","KC","2B","$547,125","1 (2018)","$547,125","$547,125",2008
"Jorge Alfaro","PHI","C","$547,000","1 (2018)","$547,000","$547,000",2008
"Ricardo Rodriguez","TEX","RP","$547,000","1 (2018)","$547,000","$547,000",2008
"Hector Velazquez","BOS","SP","$547,000","1 (2018)","$547,000","$547,000",2008
"Jeff Hoffman","COL","SP","$547,000","1 (2018)","$547,000","$547,000",2008
"Mike Tauchman","COL","OF","$547,000","1 (2018)","$547,000","$547,000",2008
"Ryan McMahon","COL","1B","$547,000","1 (2018)","$547,000","$547,000",2008
"Kyle McGrath","SD","RP","$546,900","1 (2018)","$546,900","$546,900",2008
"Joey Wendle","TB","2B","$546,900","1 (2018)","$546,900","$546,900",2008
"Dominic Smith","NYM","1B","$546,800","1 (2018)","$546,800","$546,800",2008
"Eric Skoglund","KC","SP","$546,625","1 (2018)","$546,625","$546,625",2008
"Anthony Santander","BAL","OF","$546,500","1 (2018)","$546,500","$546,500",2008
"Chance Sisco","BAL","C","$546,500","1 (2018)","$546,500","$546,500",2008
"Franchy Cordero","SD","OF","$546,500","1 (2018)","$546,500","$546,500",2008
"Cam Gallagher","KC","C","$546,400","1 (2018)","$546,400","$546,400",2008
"Bubba Starling","KC","OF","$546,200","1 (2018)","$546,200","$546,200",2008
"Casey Lawrence","SEA","RP","$546,000","1 (2018)","$546,000","$546,000",2008
"Raudy Read","WSH","C","$546,000","1 (2018)","$546,000","$546,000",2008
"Clayton Blackburn","TEX","SP","$546,000","1 (2018)","$546,000","$546,000",2008
"Ronald Herrera","TEX","SP","$546,000","1 (2018)","$546,000","$546,000",2008
"Ryan Merritt","CLE","RP","$545,800","1 (2018)","$545,800","$545,800",2008
"Daniel Vogelbach","SEA","1B","$545,700","1 (2018)","$545,700","$545,700",2008
"Mike Marjama","SEA","C","$545,700","1 (2018)","$545,700","$545,700",2008
"Jacob Rhame","NYM","RP","$545,650","1 (2018)","$545,650","$545,650",2008
"Alex Reyes","STL","SP","$545,600","1 (2018)","$545,600","$545,600",2008
"Jose De Leon","TB","RP","$545,600","1 (2018)","$545,600","$545,600",2008
"Reyes Moronta","SF","RP","$545,500","1 (2018)","$545,500","$545,500",2008
"J.P. Crawford","PHI","SS","$545,500","1 (2018)","$545,500","$545,500",2008
"Victor Arano","PHI","RP","$545,500","1 (2018)","$545,500","$545,500",2008
"Anthony Alford","TOR","OF","$545,400","1 (2018)","$545,400","$545,400",2008
"Luke Bard","LAA","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Brady Rodgers","HOU","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Dean Deetz","HOU","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Renato Nunez","OAK","OF","$545,000","1 (2018)","$545,000","$545,000",2008
"Thomas Pannone","TOR","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Jack Flaherty","STL","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Jordan Hicks","STL","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Mike Mayers","STL","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Yairo Munoz","STL","SS","$545,000","1 (2018)","$545,000","$545,000",2008
"Julian Fernandez","SF","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Pierce Johnson","SF","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Cody Anderson","CLE","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Brian Anderson","MIA","3B","$545,000","1 (2018)","$545,000","$545,000",2008
"Chad Wallach","MIA","C","$545,000","1 (2018)","$545,000","$545,000",2008
"Garrett Cooper","MIA","1B","$545,000","1 (2018)","$545,000","$545,000",2008
"JT Riddle","MIA","SS","$545,000","1 (2018)","$545,000","$545,000",2008
"Lewis Brinson","MIA","OF","$545,000","1 (2018)","$545,000","$545,000",2008
"Tayron Guerrero","MIA","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Tomas Telis","MIA","C","$545,000","1 (2018)","$545,000","$545,000",2008
"Nestor Cortes","BAL","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Pedro Araujo","BAL","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Adam Cimber","SD","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Nick Burdi","PIT","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Nik Turley","PIT","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Carlos Tocci","TEX","OF","$545,000","1 (2018)","$545,000","$545,000",2008
"Joe Palumbo","TEX","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Ryan Yarbrough","TB","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Yonny Chirinos","TB","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Bobby Poyner","BOS","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Marcus Walden","BOS","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Jackson Stephens","CIN","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Jesse Winker","CIN","OF","$545,000","1 (2018)","$545,000","$545,000",2008
"Kevin Shackelford","CIN","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Phillip Ervin","CIN","OF","$545,000","1 (2018)","$545,000","$545,000",2008
"Rookie Davis","CIN","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Sal Romano","CIN","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Tyler Mahle","CIN","SP","$545,000","1 (2018)","$545,000","$545,000",2008
"Zack Weiss","CIN","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Rayan Gonzalez","COL","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Brad Keller","KC","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Tim Hill","KC","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Victor Reyes","DET","OF","$545,000","1 (2018)","$545,000","$545,000",2008
"Gabriel Moya","MIN","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Tyler Kinley","MIN","RP","$545,000","1 (2018)","$545,000","$545,000",2008
"Mike Trout","LAA","OF","$34,083,333","6 (2015-20)","$144,500,000","$24,083,333",2007
"Clayton Kershaw","LAD","SP","$34,000,000","7 (2014-20)","$215,000,000","$30,714,286",2007
"Zack Greinke","ARI","SP","$31,954,483","6 (2016-21)","$206,500,000","$34,416,667",2007
"Jake Arrieta","PHI","SP","$30,000,000","3 (2018-20)","$75,000,000","$25,000,000",2007
"David Price","BOS","SP","$30,000,000","7 (2016-22)","$217,000,000","$31,000,000",2007
"Miguel Cabrera","DET","1B","$30,000,000","10 (2014-23)","$292,000,000","$29,200,000",2007
"Yoenis Cespedes","NYM","OF","$29,000,000","4 (2017-20)","$110,000,000","$27,500,000",2007
"Justin Verlander","HOU","SP","$28,000,000","7 (2013-19)","$180,000,000","$25,714,286",2007
"Jon Lester","CHC","SP","$27,500,000","6 (2015-20)","$155,000,000","$25,833,333",2007
"Albert Pujols","LAA","1B","$27,000,000","10 (2012-21)","$240,000,000","$24,000,000",2007
"Felix Hernandez","SEA","SP","$26,857,143","7 (2013-19)","$175,000,000","$25,000,000",2007
"Jason Heyward","CHC","OF","$26,055,288","8 (2016-23)","$184,000,000","$23,000,000",2007
"Yu Darvish","CHC","SP","$25,000,000","6 (2018-23)","$126,000,000","$21,000,000",2007
"Joey Votto","CIN","1B","$25,000,000","10 (2014-23)","$225,000,000","$22,500,000",2007
"Giancarlo Stanton","NYY","OF","$25,000,000","13 (2015-27)","$325,000,000","$25,000,000",2007
"Robinson Cano","SEA","2B","$24,000,000","10 (2014-23)","$240,000,000","$24,000,000",2007
"Jordan Zimmermann","DET","SP","$24,000,000","5 (2016-20)","$110,000,000","$22,000,000",2007
"J.D. Martinez","BOS","OF","$23,750,000","5 (2018-22)","$110,000,000","$22,000,000",2007
"Josh Donaldson","TOR","3B","$23,000,000","1 (2018)","$23,000,000","$23,000,000",2007
"Joe Mauer","MIN","1B","$23,000,000","8 (2011-18)","$184,000,000","$23,000,000",2007
"Hanley Ramirez","BOS","1B","$22,750,000","4 (2015-18)","$88,000,000","$22,000,000",2007
"Johnny Cueto","SF","SP","$22,666,666","6 (2016-21)","$130,000,000","$21,666,667",2007
"Cole Hamels","TEX","SP","$22,500,000","6 (2013-18)","$144,000,000","$24,000,000",2007
"Adrian Gonzalez","NYM","1B","$22,357,142","7 (2012-18)","$154,000,000","$22,000,000",2007
"Buster Posey","SF","C","$22,177,778","9 (2013-21)","$167,000,000","$18,555,556",2007
"Max Scherzer","WSH","SP","$22,142,857","7 (2015-21)","$210,000,000","$30,000,000",2007
"Yadier Molina","STL","C","$22,000,000","3 (2018-20)","$62,000,000","$20,666,667",2007
"Ian Desmond","COL","1B","$22,000,000","5 (2017-21)","$70,000,000","$14,000,000",2007
"Masahiro Tanaka","NYY","SP","$22,000,000","7 (2014-20)","$155,000,000","$22,142,857",2007
"Jacoby Ellsbury","NYY","OF","$21,857,142","7 (2014-20)","$153,000,000","$21,857,143",2007
"Bryce Harper","WSH","OF","$21,625,000","1 (2018)","$21,625,000","$21,625,000",2007
"Eric Hosmer","SD","1B","$21,625,000","8 (2018-25)","$144,000,000","$18,000,000",2007
"Matt Kemp","LAD","OF","$21,500,000","8 (2012-19)","$160,000,000","$20,000,000",2007
"Freddie Freeman","ATL","1B","$21,359,375","8 (2014-21)","$135,000,000","$16,875,000",2007
"James Shields","CWS","SP","$21,250,000","4 (2015-18)","$75,000,000","$18,750,000",2007
"Chris Davis","BAL","1B","$21,169,326","7 (2016-22)","$161,000,000","$23,000,000",2007
"Rick Porcello","BOS","SP","$21,125,000","4 (2016-19)","$82,500,000","$20,625,000",2007
"Homer Bailey","CIN","SP","$21,000,000","6 (2014-19)","$105,000,000","$17,500,000",2007
"Alex Gordon","KC","OF","$21,000,000","4 (2016-19)","$72,000,000","$18,000,000",2007
"Russell Martin","TOR","C","$20,000,000","5 (2015-19)","$82,000,000","$16,400,000",2007
"Troy Tulowitzki","TOR","SS","$20,000,000","10 (2011-20)","$157,750,000","$15,775,000",2007
"Shin-Soo Choo","TEX","OF","$20,000,000","7 (2014-20)","$130,000,000","$18,571,429",2007
"Jeff Samardzija","SF","SP","$19,800,000","5 (2016-20)","$90,000,000","$18,000,000",2007
"Pablo Sandoval","SF","3B","$19,600,000","1 (2018)","$19,600,000","$19,600,000",2007
"Adam Wainwright","STL","SP","$19,500,000","5 (2014-18)","$97,500,000","$19,500,000",2007
"David Wright","NYM","3B","$19,399,744","8 (2013-20)","$138,000,000","$17,250,000",2007
"Ryan Braun","MIL","OF","$19,088,823","13 (2008-20)","$150,000,000","$11,538,462",2007
"Kyle Seager","SEA","3B","$19,000,000","7 (2015-21)","$100,000,000","$14,285,714",2007
"Hunter Pence","SF","OF","$18,700,000","5 (2014-18)","$90,000,000","$18,000,000",2007
"Edwin Encarnacion","CLE","DH","$18,666,667","3 (2017-19)","$60,000,000","$20,000,000",2007
"Carlos Santana","PHI","1B","$18,500,000","3 (2018-20)","$60,000,000","$20,000,000",2007
"Mike Leake","SEA","SP","$18,000,000","5 (2016-20)","$80,000,000","$16,000,000",2007
"Adrian Beltre","TEX","3B","$18,000,000","2 (2017-18)","$36,000,000","$18,000,000",2007
"Victor Martinez","DET","DH","$18,000,000","4 (2015-18)","$68,000,000","$17,000,000",2007
"Nolan Arenado","COL","3B","$17,750,000","2 (2017-18)","$29,500,000","$14,750,000",2007
"Justin Upton","LAA","OF","$17,700,000","5 (2018-22)","$106,000,000","$21,200,000",2007
"Daniel Murphy","WSH","2B","$17,500,000","3 (2016-18)","$37,500,000","$12,500,000",2007
"Adam Jones","BAL","OF","$17,393,152","6 (2013-18)","$85,500,000","$14,250,000",2007
"Brandon Belt","SF","1B","$17,200,000","5 (2017-21)","$72,800,000","$14,560,000",2007
"Aroldis Chapman","NYY","RP","$17,200,000","5 (2017-21)","$86,000,000","$17,200,000",2007
"Brian McCann","HOU","C","$17,000,000","5 (2014-18)","$85,000,000","$17,000,000",2007
"Rich Hill","LAD","SP","$16,666,667","3 (2017-19)","$48,000,000","$16,000,000",2007
"Dexter Fowler","STL","OF","$16,500,000","5 (2017-21)","$82,500,000","$16,500,000",2007
"Ben Zobrist","CHC","2B","$16,500,000","4 (2016-19)","$56,000,000","$14,000,000",2007
"Stephen Strasburg","WSH","SP","$16,428,571","7 (2017-23)","$175,000,000","$25,000,000",2007
"Wade Davis","COL","RP","$16,333,333","3 (2018-20)","$52,000,000","$17,333,333",2007
"Manny Machado","BAL","SS","$16,000,000","1 (2018)","$16,000,000","$16,000,000",2007
"Ian Kennedy","KC","SP","$16,000,000","5 (2016-20)","$70,000,000","$14,000,000",2007
"Dustin Pedroia","BOS","2B","$15,521,686","8 (2014-21)","$110,000,000","$13,750,000",2007
"Elvis Andrus","TEX","SS","$15,333,333","8 (2015-22)","$120,000,000","$15,000,000",2007
"Brandon Crawford","SF","SS","$15,200,000","6 (2016-21)","$75,000,000","$12,500,000",2007
"Mark Melancon","SF","RP","$15,000,000","4 (2017-20)","$62,000,000","$15,500,000",2007
"Andrew McCutchen","SF","OF","$14,750,000","1 (2018)","$14,750,000","$14,750,000",2007
"Evan Longoria","SF","3B","$14,500,000","6 (2017-22)","$100,000,000","$16,666,667",2007
"Ryan Zimmerman","WSH","1B","$14,333,333","6 (2014-19)","$100,000,000","$16,666,667",2007
"Nelson Cruz","SEA","DH","$14,250,000","4 (2015-18)","$57,000,000","$14,250,000",2007
"Matt Carpenter","STL","1B","$14,083,333","6 (2014-19)","$52,000,000","$8,666,667",2007
"Lorenzo Cain","MIL","OF","$14,000,000","5 (2018-22)","$80,000,000","$16,000,000",2007
"Alex Cobb","BAL","SP","$14,000,000","4 (2018-21)","$57,000,000","$14,250,000",2007
"Charlie Blackmon","COL","OF","$14,000,000","1 (2018)","$14,000,000","$14,000,000",2007
"Danny Duffy","KC","SP","$14,000,000","5 (2017-21)","$65,000,000","$13,000,000",2007
"Craig Kimbrel","BOS","RP","$13,900,000","1 (2018)","$13,900,000","$13,900,000",2007
"Jason Kipnis","CLE","2B","$13,666,667","6 (2014-19)","$52,500,000","$8,750,000",2007
"Martin Prado","MIA","3B","$13,500,000","3 (2017-19)","$40,000,000","$13,333,333",2007
"Ervin Santana","MIN","SP","$13,500,000","4 (2015-18)","$55,000,000","$13,750,000",2007
"Dallas Keuchel","HOU","SP","$13,200,000","1 (2018)","$13,200,000","$13,200,000",2007
"Phil Hughes","MIN","RP","$13,200,000","5 (2015-19)","$58,000,000","$11,600,000",2007
"Devin Mesoraco","CIN","C","$13,125,000","4 (2015-18)","$28,000,000","$7,000,000",2007
"Josh Reddick","HOU","OF","$13,000,000","4 (2017-20)","$52,000,000","$13,000,000",2007
"J.A. Happ","TOR","SP","$13,000,000","3 (2016-18)","$36,000,000","$12,000,000",2007
"Marco Estrada","TOR","SP","$13,000,000","1 (2018)","$13,000,000","$13,000,000",2007
"Chase Headley","SD","3B","$13,000,000","4 (2015-18)","$52,000,000","$13,000,000",2007
"Jose Abreu","CWS","1B","$13,000,000","1 (2018)","$13,000,000","$13,000,000",2007
"David Robertson","NYY","RP","$13,000,000","4 (2015-18)","$46,000,000","$11,500,000",2007
"Zack Cozart","LAA","3B","$12,666,666","3 (2018-20)","$38,000,000","$12,666,667",2007
"Tyler Chatwood","CHC","SP","$12,500,000","3 (2018-20)","$38,000,000","$12,666,667",2007
"Chris Sale","BOS","SP","$12,500,000","1 (2018)","$12,500,000","$12,500,000",2007
"Denard Span","TB","OF","$12,333,333","3 (2016-18)","$31,000,000","$10,333,333",2007
"Anthony Rendon","WSH","3B","$12,300,000","1 (2018)","$12,300,000","$12,300,000",2007
"Mark Trumbo","BAL","DH","$12,274,428","3 (2017-19)","$36,887,268","$12,295,756",2007
"George Springer","HOU","OF","$12,000,000","2 (2018-19)","$24,000,000","$12,000,000",2007
"Yulieski Gurriel","HOU","1B","$12,000,000","5 (2016-20)","$47,500,000","$9,500,000",2007
"Justin Turner","LAD","3B","$12,000,000","4 (2017-20)","$64,000,000","$16,000,000",2007
"Madison Bumgarner","SF","SP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2007
"Michael Brantley","CLE","OF","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2007
"Gio Gonzalez","WSH","SP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2007
"Zach Britton","BAL","RP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2007
"Lance Lynn","MIN","SP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2007
"Brett Gardner","NYY","OF","$12,000,000","4 (2015-18)","$52,000,000","$13,000,000",2007
"Carlos Martinez","STL","SP","$11,800,000","5 (2017-21)","$51,000,000","$10,200,000",2007
"Brandon McCarthy","ATL","SP","$11,500,000","4 (2015-18)","$48,000,000","$12,000,000",2007
"Paul Goldschmidt","ARI","1B","$11,083,333","5 (2014-18)","$32,000,000","$6,400,000",2007
"Andrelton Simmons","LAA","SS","$11,000,000","7 (2014-20)","$58,000,000","$8,285,714",2007
"Ian Kinsler","LAA","2B","$11,000,000","1 (2018)","$11,000,000","$11,000,000",2007
"Kendrys Morales","TOR","DH","$11,000,000","3 (2017-19)","$33,000,000","$11,000,000",2007
"Nick Markakis","ATL","OF","$11,000,000","4 (2015-18)","$44,000,000","$11,000,000",2007
"Dee Gordon","SEA","OF","$11,000,000","5 (2016-20)","$50,000,000","$10,000,000",2007
"Starlin Castro","MIA","2B","$11,000,000","7 (2013-19)","$60,000,000","$8,571,429",2007
"Jay Bruce","NYM","OF","$11,000,000","3 (2018-20)","$39,000,000","$13,000,000",2007
